Signal Legend:

Key        Signal Name

0        = waveform_gen:waveform_gen_inst|en
1        = waveform_gen:waveform_gen_inst|reset
2        = waveform_gen:waveform_gen_inst|phase_inc[31..0]
3        = waveform_gen:waveform_gen_inst|cos_out[11..0]
4        = waveform_gen:waveform_gen_inst|saw_out[11..0]
5        = waveform_gen:waveform_gen_inst|sin_out[11..0]
6        = waveform_gen:waveform_gen_inst|squ_out[11..0]

Data Table:

Signals-> 0 1 2         3    4    5    6    

sample

-924      1 1 00000102h 44Ah D71h 940h 7FFh 
-923      1 1 00000102h 44Ah D71h 940h 7FFh 
-922      1 1 00000102h 44Ah D71h 940h 7FFh 
-921      1 1 00000102h 44Ah D71h 940h 7FFh 
-920      1 1 00000102h 44Ah D71h 940h 7FFh 
-919      1 1 00000102h 44Ah D71h 940h 7FFh 
-918      1 1 00000102h 44Ah D71h 940h 7FFh 
-917      1 1 00000102h 44Ah D71h 940h 7FFh 
-916      1 1 00000102h 44Ah D71h 940h 7FFh 
-915      1 1 00000102h 44Ah D71h 940h 7FFh 
-914      1 1 00000102h 44Ah D71h 940h 7FFh 
-913      1 1 00000102h 44Ah D71h 940h 7FFh 
-912      1 1 00000102h 44Ah D71h 940h 7FFh 
-911      1 1 00000102h 44Ah D71h 940h 7FFh 
-910      1 1 00000102h 44Ah D71h 940h 7FFh 
-909      1 1 00000102h 44Ah D71h 940h 7FFh 
-908      1 1 00000102h 44Ah D71h 940h 7FFh 
-907      1 1 00000102h 44Ah D71h 940h 7FFh 
-906      1 1 00000102h 44Ah D71h 940h 7FFh 
-905      1 1 00000102h 44Ah D71h 940h 7FFh 
-904      1 1 00000102h 44Ah D71h 940h 7FFh 
-903      1 1 00000102h 44Ah D71h 940h 7FFh 
-902      1 1 00000102h 44Ah D71h 940h 7FFh 
-901      1 1 00000102h 44Ah D71h 940h 7FFh 
-900      1 1 00000102h 44Ah D71h 940h 7FFh 
-899      1 1 00000102h 44Ah D71h 940h 7FFh 
-898      1 1 00000102h 44Ah D71h 940h 7FFh 
-897      1 1 00000102h 44Ah D71h 940h 7FFh 
-896      1 1 00000102h 44Ah D71h 940h 7FFh 
-895      1 1 00000102h 44Ah D71h 940h 7FFh 
-894      1 1 00000102h 44Ah D71h 940h 7FFh 
-893      1 1 00000102h 44Ah D71h 940h 7FFh 
-892      1 1 00000102h 44Ah D71h 940h 7FFh 
-891      1 1 00000102h 44Ah D71h 940h 7FFh 
-890      1 1 00000102h 44Ah D71h 940h 7FFh 
-889      1 1 00000102h 44Ah D71h 940h 7FFh 
-888      1 1 00000102h 44Ah D71h 940h 7FFh 
-887      1 1 00000102h 44Ah D71h 940h 7FFh 
-886      1 1 00000102h 44Ah D71h 940h 7FFh 
-885      1 1 00000102h 44Ah D71h 940h 7FFh 
-884      1 1 00000102h 44Ah D71h 940h 7FFh 
-883      1 1 00000102h 44Ah D71h 940h 7FFh 
-882      1 1 00000102h 44Ah D71h 940h 7FFh 
-881      1 1 00000102h 44Ah D71h 940h 7FFh 
-880      1 1 00000102h 44Ah D71h 940h 7FFh 
-879      1 1 00000102h 44Ah D71h 940h 7FFh 
-878      1 1 00000102h 44Ah D71h 940h 7FFh 
-877      1 1 00000102h 44Ah D71h 940h 7FFh 
-876      1 1 00000102h 44Ah D71h 940h 7FFh 
-875      1 1 00000102h 44Ah D71h 940h 7FFh 
-874      1 1 00000102h 44Ah D71h 940h 7FFh 
-873      1 1 00000102h 44Ah D71h 940h 7FFh 
-872      1 1 00000102h 44Ah D71h 940h 7FFh 
-871      1 1 00000102h 44Ah D71h 940h 7FFh 
-870      1 1 00000102h 44Ah D71h 940h 7FFh 
-869      1 1 00000102h 44Ah D71h 940h 7FFh 
-868      1 1 00000102h 44Ah D71h 940h 7FFh 
-867      1 1 00000102h 44Ah D71h 940h 7FFh 
-866      1 1 00000102h 44Ah D71h 940h 7FFh 
-865      1 1 00000102h 44Ah D71h 940h 7FFh 
-864      1 1 00000102h 44Ah D71h 940h 7FFh 
-863      1 1 00000102h 44Ah D71h 940h 7FFh 
-862      1 1 00000102h 44Ah D71h 940h 7FFh 
-861      1 1 00000102h 44Ah D71h 940h 7FFh 
-860      1 1 00000102h 44Ah D71h 940h 7FFh 
-859      1 1 00000102h 44Ah D71h 940h 7FFh 
-858      1 1 00000102h 44Ah D71h 940h 7FFh 
-857      1 1 00000102h 44Ah D71h 940h 7FFh 
-856      1 1 00000102h 44Ah D71h 940h 7FFh 
-855      1 1 00000102h 44Ah D71h 940h 7FFh 
-854      1 1 00000102h 44Ah D71h 940h 7FFh 
-853      1 1 00000102h 44Ah D71h 940h 7FFh 
-852      1 1 00000102h 44Ah D71h 940h 7FFh 
-851      1 1 00000102h 44Ah D71h 940h 7FFh 
-850      1 1 00000102h 44Ah D71h 940h 7FFh 
-849      1 1 00000102h 44Ah D71h 940h 7FFh 
-848      1 1 00000102h 44Ah D71h 940h 7FFh 
-847      1 1 00000102h 44Ah D71h 940h 7FFh 
-846      1 1 00000102h 44Ah D71h 940h 7FFh 
-845      1 1 00000102h 44Ah D71h 940h 7FFh 
-844      1 1 00000102h 44Ah D71h 940h 7FFh 
-843      1 1 00000102h 44Ah D71h 940h 7FFh 
-842      1 1 00000102h 44Ah D71h 940h 7FFh 
-841      1 1 00000102h 44Ah D71h 940h 7FFh 
-840      1 1 00000102h 44Ah D71h 940h 7FFh 
-839      1 1 00000102h 44Ah D71h 940h 7FFh 
-838      1 1 00000102h 44Ah D71h 940h 7FFh 
-837      1 1 00000102h 44Ah D71h 940h 7FFh 
-836      1 1 00000102h 44Ah D71h 940h 7FFh 
-835      1 1 00000102h 44Ah D71h 940h 7FFh 
-834      1 1 00000102h 44Ah D71h 940h 7FFh 
-833      1 1 00000102h 44Ah D71h 940h 7FFh 
-832      1 1 00000102h 44Ah D71h 940h 7FFh 
-831      1 1 00000102h 44Ah D71h 940h 7FFh 
-830      1 1 00000102h 44Ah D71h 940h 7FFh 
-829      1 1 00000102h 44Ah D71h 940h 7FFh 
-828      1 1 00000102h 44Ah D71h 940h 7FFh 
-827      1 1 00000102h 44Ah D71h 940h 7FFh 
-826      1 1 00000102h 44Ah D71h 940h 7FFh 
-825      1 1 00000102h 44Ah D71h 940h 7FFh 
-824      1 1 00000102h 44Ah D71h 940h 7FFh 
-823      1 1 00000102h 44Ah D71h 940h 7FFh 
-822      1 1 00000102h 44Ah D71h 940h 7FFh 
-821      1 1 00000102h 44Ah D71h 940h 7FFh 
-820      1 1 00000102h 44Ah D71h 940h 7FFh 
-819      1 1 00000102h 44Ah D71h 940h 7FFh 
-818      1 1 00000102h 44Ah D71h 940h 7FFh 
-817      1 1 00000102h 44Ah D71h 940h 7FFh 
-816      1 1 00000102h 44Ah D71h 940h 7FFh 
-815      1 1 00000102h 44Ah D71h 940h 7FFh 
-814      1 1 00000102h 44Ah D71h 940h 7FFh 
-813      1 1 00000102h 44Ah D71h 940h 7FFh 
-812      1 1 00000102h 44Ah D71h 940h 7FFh 
-811      1 1 00000102h 44Ah D71h 940h 7FFh 
-810      1 1 00000102h 44Ah D71h 940h 7FFh 
-809      1 1 00000102h 44Ah D71h 940h 7FFh 
-808      1 1 00000102h 44Ah D71h 940h 7FFh 
-807      1 1 00000102h 44Ah D71h 940h 7FFh 
-806      1 1 00000102h 44Ah D71h 940h 7FFh 
-805      1 1 00000102h 44Ah D71h 940h 7FFh 
-804      1 1 00000102h 44Ah D71h 940h 7FFh 
-803      1 1 00000102h 44Ah D71h 940h 7FFh 
-802      1 1 00000102h 44Ah D71h 940h 7FFh 
-801      1 1 00000102h 44Ah D71h 940h 7FFh 
-800      1 1 00000102h 44Ah D71h 940h 7FFh 
